* AERMOD ( 19191): DISPERSIÓN - CO                                                         04/30/20
* AERMET ( 19191): EJECUTADO POR N. USCUCHAGUA                                              22:39:42
* MODELING OPTIONS USED:   NonDFAULT  CONC  FLAT  FLGPOL  RURAL  ADJ_U*  MMIF_Data
*         POST/PLOT FILE OF CONCURRENT  1-HR VALUES FOR SOURCE GROUP: ALL     
*         FOR A TOTAL OF     2 RECEPTORS.
*         FORMAT: (3(1X,F13.5),3(1X,F8.2),2X,A6,2X,A8,2X,I8.8,2X,A8)                                                                                                                                                      
*        X             Y      AVERAGE CONC    ZELEV    ZHILL    ZFLAG    AVE     GRP       DATE     NET ID
* ____________  ____________  ____________   ______   ______   ______  ______  ________  ________  ________
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010222          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010223          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010223          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010224          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010224          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010301          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010301          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010302          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010302          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010303          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010303          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010304          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010304          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010305          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010305          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010306          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010306          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010307          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010307          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010308          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010308          
  499990.00000 8341510.00000       0.58162   500.00   500.00     1.50    1-HR  ALL       16010309          
  500020.00000 8341827.00000      18.36964   500.00   500.00     1.50    1-HR  ALL       16010309          
  499990.00000 8341510.00000       0.88226   500.00   500.00     1.50    1-HR  ALL       16010310          
  500020.00000 8341827.00000      32.92643   500.00   500.00     1.50    1-HR  ALL       16010310          
  499990.00000 8341510.00000       0.63496   500.00   500.00     1.50    1-HR  ALL       16010311          
  500020.00000 8341827.00000      26.98921   500.00   500.00     1.50    1-HR  ALL       16010311          
  499990.00000 8341510.00000       0.34415   500.00   500.00     1.50    1-HR  ALL       16010312          
  500020.00000 8341827.00000      16.56073   500.00   500.00     1.50    1-HR  ALL       16010312          
  499990.00000 8341510.00000       0.20139   500.00   500.00     1.50    1-HR  ALL       16010313          
  500020.00000 8341827.00000      10.25460   500.00   500.00     1.50    1-HR  ALL       16010313          
  499990.00000 8341510.00000       0.19867   500.00   500.00     1.50    1-HR  ALL       16010314          
  500020.00000 8341827.00000      10.21055   500.00   500.00     1.50    1-HR  ALL       16010314          
  499990.00000 8341510.00000       0.13116   500.00   500.00     1.50    1-HR  ALL       16010315          
  500020.00000 8341827.00000       6.98694   500.00   500.00     1.50    1-HR  ALL       16010315          
  499990.00000 8341510.00000       0.06079   500.00   500.00     1.50    1-HR  ALL       16010316          
  500020.00000 8341827.00000       1.89132   500.00   500.00     1.50    1-HR  ALL       16010316          
  499990.00000 8341510.00000       0.01600   500.00   500.00     1.50    1-HR  ALL       16010317          
  500020.00000 8341827.00000       0.03563   500.00   500.00     1.50    1-HR  ALL       16010317          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010318          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010318          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010319          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010319          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010320          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010320          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010321          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010321          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010322          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010322          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010323          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010323          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010324          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010324          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010401          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010401          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010402          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010402          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010403          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010403          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010404          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010404          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010405          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010405          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010406          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010406          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010407          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010407          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010408          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010408          
  499990.00000 8341510.00000       0.61561   500.00   500.00     1.50    1-HR  ALL       16010409          
  500020.00000 8341827.00000       5.88243   500.00   500.00     1.50    1-HR  ALL       16010409          
  499990.00000 8341510.00000       0.34111   500.00   500.00     1.50    1-HR  ALL       16010410          
  500020.00000 8341827.00000       8.40624   500.00   500.00     1.50    1-HR  ALL       16010410          
  499990.00000 8341510.00000       0.20234   500.00   500.00     1.50    1-HR  ALL       16010411          
  500020.00000 8341827.00000      10.12345   500.00   500.00     1.50    1-HR  ALL       16010411          
  499990.00000 8341510.00000       0.26640   500.00   500.00     1.50    1-HR  ALL       16010412          
  500020.00000 8341827.00000      13.16039   500.00   500.00     1.50    1-HR  ALL       16010412          
  499990.00000 8341510.00000       0.17422   500.00   500.00     1.50    1-HR  ALL       16010413          
  500020.00000 8341827.00000       9.82697   500.00   500.00     1.50    1-HR  ALL       16010413          
  499990.00000 8341510.00000       0.14389   500.00   500.00     1.50    1-HR  ALL       16010414          
  500020.00000 8341827.00000       8.38031   500.00   500.00     1.50    1-HR  ALL       16010414          
  499990.00000 8341510.00000       0.15747   500.00   500.00     1.50    1-HR  ALL       16010415          
  500020.00000 8341827.00000       8.66392   500.00   500.00     1.50    1-HR  ALL       16010415          
  499990.00000 8341510.00000       0.10566   500.00   500.00     1.50    1-HR  ALL       16010416          
  500020.00000 8341827.00000       3.86039   500.00   500.00     1.50    1-HR  ALL       16010416          
  499990.00000 8341510.00000       0.02271   500.00   500.00     1.50    1-HR  ALL       16010417          
  500020.00000 8341827.00000       0.55442   500.00   500.00     1.50    1-HR  ALL       16010417          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010418          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010418          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010419          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010419          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010420          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010420          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010421          
  500020.00000 8341827.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010421          
  499990.00000 8341510.00000       0.00000   500.00   500.00     1.50    1-HR  ALL       16010422          
